strings,complexity
abs,0
abstract,0
accum,0
action,0
add,0
addinfo,0
addtime,0
addtotals,0
af,0
agg,0
allnum,0
allowempty,0
allrequired,0
and,0
annotate,0
anomalies,10
anomalousvalue,0
append,5
appendcols,5
as,0
associate,10
attr,0
attribute,0
attrn,0
audit,0
auto,0
autoregress,10
avg,0
bcc,0
bins,0
blacklist,0
blacklistthreshold,0
bottom,0
bucket,0
bucketdir,0
buffer_span,0
by,0
c,0
case,0
cb,0
cc,0
cfield,0
chart,0
chunk,0
chunksize,0
cidrmatch,0
cityblock,0
classfield,0
clean_keys,0
cluster,10
cmd,0
coalesce,0
cocur,0
col,0
collapse,0
collect,0
commands,0
concurrency,0
connected,0
consecutive,0
cont,0
context,0
contingency,10
convert,0
copyattrs,0
copyresults,0
correlate,10
cos,0
cosine,0
count,0
counterexamples,0
countfield,0
crawl,0
createinapp,0
createrss,0
cs,0
csv,0
ctime,0
current,0
d,0
day,0
days,0
daysago,0
dbinspect,0
dc,0
dd,0
debug,0
dedup,2
default,0
delete,0
delim,0
delims,0
delta,0
desc,0
descr,0
dest,0
dictionary,0
diff,0
discard,0
dispatch,0
distinct,0
ds,0
dt,0
dur,0
duration,0
earlier,0
editinfo,0
ema,0
end,0
end_time,0
enddaysago,0
endhoursago,0
endminutesago,0
endmonthsago,0
endswith,0
endtime,0
erex,0
eval,5
eventcount,0
events,0
eventstats,10
eventtype,0
eventtypetag,0
exact,0
examples,0
exp,0
extract,0
field,0
fieldname,0
fields,0
file,0
fillnull,0
filter,0
findtypes,0
first,0
floor,0
folderize,0
forceheader,0
form,0
format,0
from,0
fromfield,0
gentimes,0
global,0
graceful,0
h,0
head,0
header,0
hh,0
high,0
highest,0
highlight,0
hilite,0
host,0
hosts,0
hosttag,0
hour,0
hours,0
hoursago,0
hr,0
hrs,0
html,0
iconify,0
id,0
if,0
ifnull,0
improv,0
in,0
increment,0
index,0
inline,0
inner,0
input,0
inputcsv,2
inputlookup,5
internalinputcsv,0
intersect,0
ip,0
iplocation,2
iqr,0
isbool,0
isint,0
isnotnull,0
isnull,0
isnum,0
isstr,0
join,5
k,0
keepempty,0
keepevents,0
keepevicted,0
keeplast,0
keepsingle,0
keyset,0
kmeans,0
kvform,0
l,0
label,0
labelfield,0
labelonly,0
last,0
left,0
len,0
like,0
limit,0
link,0
list,0
ln,0
loadjob,10
local,0
localize,0
localop,0
log,0
logchange,0
lookup,5
loop,0
low,0
lower,0
lowest,0
ltrim,0
m,0
makecontinuous,0
makemv,5
map,0
mappy,0
marker,0
match,0
max,0
max_buffer_size,0
max_match,0
max_time,0
maxchars,0
maxcols,0
maxcount,0
maxevents,0
maxfolders,0
maxinputs,0
maxiters,0
maxlen,0
maxlines,0
maxopenevents,0
maxopentxn,0
maxout,0
maxpause,0
maxresolution,0
maxresults,0
maxrows,0
maxsample,0
maxsearches,0
maxspan,0
maxterms,0
maxtime,0
maxtrainers,0
maxvalues,0
md,0
mean,0
median,0
memk,0
metadata,0
min,0
mincolcover,0
minfolders,0
minrowcover,0
mins,0
minute,0
minutes,0
minutesago,0
mktime,0
mm,0
mode,0
mon,0
month,0
months,0
monthsago,0
ms,0
msg_debug,0
msg_error,0
msg_info,0
msg_warn,0
mstime,0
multikv,0
multitable,0
mv_add,0
mvappend,2
mvcombine,2
mvcount,2
mvexpand,10
mvfilter,2
mvindex,2
mvjoin,5
mvlist,2
name,0
newseriesfilter,0
ngramset,0
noheader,0
nokv,0
nomv,10
none,0
norm,0
normalize,0
nosubstitution,0
not,0
notcovered,0
notin,0
now,0
null,0
nullif,0
nullstr,0
num,0
optimize,0
or,0
otherstr,0
outer,0
outfield,0
outlier,0
output,0
outputatom,0
outputcsv,0
outputlookup,0
outputraw,0
outputrawr,0
outputtext,0
overlap,0
override,0
overwrite,0
p,0
param,0
partial,0
path,0
pathfield,0
perc,0
percentfield,0
perl,0
pi,0
position,0
pow,0
prefix,0
priority,0
private,0
pthresh,0
public,0
python,0
random,0
range,0
rangemap,0
rare,10
raw,0
rawstats,0
readlevel,0
reducepy,0
regex,2
relative_time,0
relevancy,0
reload,0
remove,0
rename,5
replace,0
reps,0
resample,0
rescan,0
reverse,0
rex,2
rm,0
rmcomma,0
rmorig,0
rmunit,0
roll,0
round,0
row,0
rtorder,0
rtrim,0
s,0
sample,0
savedsearch,0
savedsplunk,0
script,0
scrub,0
search,0
searchkeys,0
searchmatch,0
searchtimespandays,0
searchtimespanhours,0
searchtimespanminutes,0
searchtimespanmonths,0
sec,0
second,0
seconds,0
secs,0
sed,0
segment,0
select,0
selfjoin,0
sendemail,0
sep,0
server,0
set,0
setfields,0
setsv,0
showargs,0
showcount,0
showlabel,0
showperc,0
sichart,0
sid,0
singlefile,0
sirare,0
sistats,10
sitimechart,0
sitop,0
size,0
sizefield,0
sleep,0
sma,0
sort,0
sortby,0
source,0
sources,0
sourcetype,0
sourcetypes,0
span,0
spawn_process,0
split,0
spool,0
sq,0
sqeuclidean,0
sqrt,0
ss,0
start,0
start_time,0
startdaysago,0
starthoursago,0
startminutesago,0
startmonthsago,0
startswith,0
starttime,0
starttimeu,0
stats,5
stdev,0
stdevp,0
str,0
strcat,0
streamedcsv,0
streamstats,10
strftime,0
strptime,0
substr,0
sum,0
summary,0
sumsq,0
supcnt,0
supfreq,0
surrounding,0
sync,0
t,0
table,2
tag,0
tagcreate,0
tagdelete,0
tags,0
tagset,0
tail,0
termlist,0
terms,0
termset,0
testmode,0
text,0
tf,0
threshold,0
time,0
timeafter,0
timebefore,0
timechart,0
timeconfig,0
timeformat,0
timeout,0
to,0
tokenizer,0
tol,0
top,0
tostring,0
totalstr,0
transaction,0
transform,0
transpose,0
trendline,0
trim,0
ttl,0
type,0
typeahead,0
typelearner,0
typeof,0
typer,0
union,2
uniq,0
untable,0
upper,0
urldecode,0
us,0
uselower,0
usenull,0
useother,0
useraw,0
usetime,0
usetotal,0
usexml,0
validate,0
value,0
values,0
var,0
varp,0
where,0
window,0
with,0
wma,0
xmlkv,2
xmlunescape,0
xor,0
xpath,0
xyseries,0
yy,0
FALSE,0
TRUE,0
spath,10
tscollect,10
arules,10
pivot,2